# rustls in-memory benchmark
benchmark,suite,size,iterations,bytes,elapsed_ns,mib_per_sec
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,38118352,6715.93
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37801870,6772.15
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37770552,6777.77
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37753539,6780.82
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37758111,6780.00
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37744588,6782.43
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37753888,6780.76
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37757120,6780.18
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37751962,6781.10
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37754049,6780.73
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,21152,12102874.43
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20328474,12593.17
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,36057,7099869.65
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,10837737,23621.17
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,569396,449599.22
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,20881,12259949.24
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20327941,12593.50
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,34067,7514603.58
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,10860686,23571.26
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,570931,448390.44
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,21335,11999062.57
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20324677,12595.53
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,33933,7544278.43
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,10856421,23580.52
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,576444,444102.12
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,20733,12347465.39
