# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu/cycles/P'
# Event count (approx.): 9945951561
#
# Children      Self  Symbol                                                                                                                                                                                   IPC   [IPC Coverage]
# ........  ........  .......................................................................................................................................................................................  ....................
#
     0.16%     0.16%  [.] _ZN66_$LT$rustls..conn..connection..Reader$u20$as$u20$std..io..Read$GT$4read17h7b88d3a2697908e2E                                                                                     -      -            
     0.16%     0.16%  [.] _ZN4core3ptr41drop_in_place$LT$rustls..error..Error$GT$17h3f70a3b6e252ebd9E                                                                                                          -      -            
     0.16%     0.16%  [.] _ZN141_$LT$rustls..server..tls13..ExpectTraffic$u20$as$u20$rustls..common_state..State$LT$rustls..server..server_conn..ServerConnectionData$GT$$GT$10into_owned17h43a30a2d54d200bdE  -      -            
     0.16%     0.16%  [.] _ZN4ring3cpu5intel12featureflags11get_or_init17h7257c1b9873d505bE                                                                                                                    -      -            
     0.13%     0.13%  [.] _ZN6rustls4msgs8deframer9handshake17HandshakeDeframer17has_message_ready17h61d7d66901a40b38E                                                                                         -      -            
     0.09%     0.09%  [.] ring_core_0_17_14__chacha20_poly1305_seal_sse41                                                                                                                                      -      -            
     0.09%     0.00%  [.] asm_sysvec_apic_timer_interrupt                                                                                                                                                      -      -            
     0.09%     0.00%  [.] sysvec_apic_timer_interrupt                                                                                                                                                          -      -            
     0.09%     0.00%  [.] __sysvec_apic_timer_interrupt                                                                                                                                                        -      -            
     0.09%     0.00%  [.] hrtimer_interrupt                                                                                                                                                                    -      -            
     0.09%     0.00%  [.] __hrtimer_run_queues                                                                                                                                                                 -      -            
     0.09%     0.00%  [.] tick_nohz_handler                                                                                                                                                                    -      -            
     0.09%     0.00%  [.] update_process_times                                                                                                                                                                 -      -            
     0.09%     0.09%  [.] _ZN6rustls4msgs8deframer7buffers17DeframerVecBuffer7discard17h34b2f27d334e3d61E                                                                                                      -      -            
     0.09%     0.09%  [.] _RNvCsGIExRX8pES_7___rustc14___rust_dealloc                                                                                                                                          -      -            
     0.06%     0.06%  [.] _RNvCsGIExRX8pES_7___rustc11___rdl_alloc                                                                                                                                             -      -            
     0.06%     0.00%  [.] sched_tick                                                                                                                                                                           -      -            
     0.06%     0.06%  [.] _ZN6rustls4msgs7message8outbound14OutboundChunks11copy_to_vec17h26f3c57a5f8a5370E                                                                                                    -      -            
     0.06%     0.06%  [.] _ZN99_$LT$rustls..conn..ConnectionCommon$LT$T$GT$$u20$as$u20$rustls..conn..connection..PlaintextSink$GT$5write17h2b8a8f56659cba4fE                                                   -      -            
     0.06%     0.06%  [.] _ZN6rustls4msgs8deframer7buffers17DeframerVecBuffer10filled_mut17hc971c6340b3fee7fE                                                                                                  -      -            
     0.03%     0.03%  [k] native_write_msr                                                                                                                                                                     -      -            
     0.03%     0.00%  [.] perf_event_task_tick                                                                                                                                                                 -      -            
     0.03%     0.00%  [.] perf_adjust_freq_unthr_context                                                                                                                                                       -      -            
     0.03%     0.00%  [.] intel_pmu_disable_all                                                                                                                                                                -      -            
     0.03%     0.03%  [.] ring_core_0_17_14__fiat_curve25519_adx_square                                                                                                                                        -      -            
     0.03%     0.03%  [.] _ZN6rustls4msgs8deframer9handshake17HandshakeDeframer10is_aligned17h0d46992b285b7bb9E                                                                                                -      -            
     0.03%     0.03%  [k] tmigr_requires_handle_remote                                                                                                                                                         -      -            
     0.03%     0.03%  [k] native_read_msr                                                                                                                                                                      -      -            
     0.03%     0.00%  [.] arch_scale_freq_tick                                                                                                                                                                 -      -            
     0.01%     0.01%  [.] _ZN4core3ptr75drop_in_place$LT$rustls..client..handy..cache..ClientSessionMemoryCache$GT$17hd000103b3119061aE.llvm.11606856962434363245                                              -      -            
     0.01%     0.00%  [.] _start                                                                                                                                                                               -      -            
     0.01%     0.00%  [.] _dl_start                                                                                                                                                                            -      -            
     0.01%     0.00%  [.] _dl_sysdep_start                                                                                                                                                                     -      -            
     0.01%     0.00%  [.] dl_main                                                                                                                                                                              -      -            
     0.01%     0.00%  [.] entry_SYSCALL_64_after_hwframe                                                                                                                                                       -      -            
     0.01%     0.00%  [.] do_syscall_64                                                                                                                                                                        -      -            
     0.01%     0.01%  [.] __getline                                                                                                                                                                            -      -            
     0.01%     0.00%  [.] __libc_start_main@@GLIBC_2.34                                                                                                                                                        -      -            
     0.01%     0.00%  [.] __frame_dummy_init_array_entry+0x7                                                                                                                                                   -      -            
     0.01%     0.00%  [.] 0x00005555555de42f                                                                                                                                                                   -      -            
     0.01%     0.00%  [.] main                                                                                                                                                                                 -      -            
     0.01%     0.00%  [.] _RNvNtCs75vJTIYSa2J_3std2rt19lang_start_internal                                                                                                                                     -      -            
     0.01%     0.00%  [.] pthread_getattr_np@@GLIBC_2.32                                                                                                                                                       -      -            
     0.00%     0.00%  [k] mod_objcg_state                                                                                                                                                                      -      -            
     0.00%     0.00%  [.] _dl_map_object_deps                                                                                                                                                                  -      -            
     0.00%     0.00%  [.] _dl_catch_exception                                                                                                                                                                  -      -            
     0.00%     0.00%  [.] openaux                                                                                                                                                                              -      -            
     0.00%     0.00%  [.] _dl_map_new_object                                                                                                                                                                   -      -            
     0.00%     0.00%  [k] __build_id_parse                                                                                                                                                                     -      -            
     0.00%     0.00%  [.] open_path                                                                                                                                                                            -      -            
     0.00%     0.00%  [.] open_verify.constprop.0                                                                                                                                                              -      -            
     0.00%     0.00%  [.] __GI___open64_nocancel                                                                                                                                                               -      -            
     0.00%     0.00%  [.] _dl_protect_relro                                                                                                                                                                    -      -            
     0.00%     0.00%  [.] __x64_sys_openat                                                                                                                                                                     -      -            
     0.00%     0.00%  [.] mprotect                                                                                                                                                                             -      -            
     0.00%     0.00%  [.] do_sys_openat2                                                                                                                                                                       -      -            
     0.00%     0.00%  [.] do_filp_open                                                                                                                                                                         -      -            
     0.00%     0.00%  [.] __x64_sys_mprotect                                                                                                                                                                   -      -            
     0.00%     0.00%  [.] path_openat                                                                                                                                                                          -      -            
     0.00%     0.00%  [.] alloc_empty_file                                                                                                                                                                     -      -            
     0.00%     0.00%  [.] do_mprotect_pkey                                                                                                                                                                     -      -            
     0.00%     0.00%  [.] kmem_cache_alloc_noprof                                                                                                                                                              -      -            
     0.00%     0.00%  [.] mprotect_fixup                                                                                                                                                                       -      -            
     0.00%     0.00%  [.] __memcg_slab_post_alloc_hook                                                                                                                                                         -      -            
     0.00%     0.00%  [.] perf_event_mmap                                                                                                                                                                      -      -            


#
# (Tip: To record every process run by a user: perf record -u <user>)
#
